name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
FIVE CHANCERY,,CCR - [D11],,0,1150, ,,0,1150,0,1150,0,0
FORTUNE VIEW,,OCR - [D13],,1004,0, ,,1004,0,1004,0,0,0
GAMBIER COURT,,CCR - [D09],,1278,0, ,,1278,0,1278,0,0,0
GILSTEAD BROOKS,,CCR - [D11],,1132,1126, ,,1132,1167,1132,1126,0,0
GOODMAN CREST,,RCR - [D15],,0,808, ,,0,808,0,808,0,0
GOODWOOD GRAND,,CCR - [D10],,0,1273, ,,0,1329,0,1273,0,0
GRANDIOSO 8,,RCR - [D20],,0,759, ,,0,759,0,759,0,0
GREENWOOD MEWS,,CCR - [D11],,0,1286, ,,0,1355,0,1286,0,0
GRYPHON TERRACE,,RCR - [D05],,955,0, ,,955,0,955,0,0,0
HIGH PARK RESIDENCES,,OCR - [D28],,1111,0, ,,1111,0,1111,0,0,0
HILLCREST VILLA,,CCR - [D11],,1183,1300, ,,1183,1300,1183,1255,0,0
HILLSGROVE,,OCR - [D19],,0,652, ,,0,652,0,652,0,0
HILLSTA,,OCR - [D23],,0,876, ,,0,876,0,876,0,0
HONG KONG PARK,,RCR - [D21],,0,924, ,,0,924,0,924,0,0
HORIZON GARDENS,,OCR - [D20],,774,827, ,,774,827,774,814,0,0
HORIZON GREEN,,OCR - [D20],,678,888, ,,678,888,678,879,0,0
ILLOURA,,CCR - [D10],,0,1267, ,,0,1267,0,1267,0,0
INFINIUM,,OCR - [D19],,0,715, ,,0,731,0,715,0,0
JANSEN 8,,OCR - [D19],,0,826, ,,0,826,0,826,0,0
JC VILLE,,RCR - [D15],,1382,0,,,1382,0,1382,0,0,0
JEWEL @ CHUAN HOE,,OCR - [D19],,0,566,,,0,566,0,566,0,0
JULUCA,,RCR - [D05],,0,810,,,0,810,0,810,0,0
KALEIDO,,OCR - [D15],,0,966,,,0,1039,0,966,0,858
KENT RIDGE HILL RESIDENCES,,RCR - [D05],,0,0,,,1659,0,1580,0,1580,0
KEW GATE,,OCR - [D16],,875,0,,,875,0,875,0,0,0
KEW RESIDENCIA,,OCR - [D16],,771,0,,,872,0,795,0,0,0
KIARA 10,,OCR - [D14],,0,527,,,0,527,0,527,0,0
KING'S 8,,CCR - [D10],,0,1037,,,0,1037,0,1037,0,0
KINGSFORD WATERBAY,,OCR - [D19],,1366,0,,,1384,0,1366,0,0,0
KOVAN REGENCY,,OCR - [D19],,0,1026,,,0,1026,0,1026,0,0
LA BELLE,,OCR - [D19],,1003,0,,,1003,0,1003,0,0,0
LANDED HOUSING DEVELOPMENT,,CCR - [D11],,1198,809,,,3849,1427,2524,809,3849,0
