name,zone,category,top,psf1,psf2,notes,link,psf1_max,psf2_max,psf1_avg,psf2_avg,psf1_new,psf2_new
WEST COAST GARDENS,,OCR - [D05],,1856,1407,,,2149,1729,1856,1268,0,0
WEST POINT PEARL GARDEN,,OCR - [D05],,0,1413,,,0,1413,0,1413,0,0
WEST SEA GARDENS,,RCR - [D05],,0,1862,,,0,1862,0,1862,0,0
WESTLAKE GARDENS,,RCR - [D20],,0,1060,,,0,1837,0,1060,0,0
WESTPEAK TERRACE,,OCR - [D05],,1589,1804,,,1589,1804,1589,1804,0,0
WESTRIDGE,,RCR - [D05],,0,1809,,,0,1809,0,1809,0,0
WESTVIEW GARDENS,,OCR - [D05],,0,856,,,0,856,0,856,0,0
WESTVILLE,,OCR - [D22],,1226,1106,,,1330,1106,1265,1106,0,0
WESTWOOD PARK,,OCR - [D22],,1171,925,,,1171,925,1131,925,0,0
WHITE HOUSE PARK,,CCR - [D10],,0,3017,,,0,3017,0,3017,0,0
WHITLEYVILLE,,CCR - [D11],,0,1544,,,0,1544,0,1544,0,0
WIMBORNE VILLAS,,RCR - [D15],,0,1532,,,0,1532,0,1532,0,0
WINDSOR PARK,,RCR - [D20],,0,1348,,,0,1382,0,1348,0,0
WINDSOR PARK ESTATE,,RCR - [D20],,1695,2032,,,1695,2032,1695,2032,0,0
WOODGROVE ESTATE,,OCR - [D25],,1135,902,,,1135,902,1135,902,0,0
WOODLANDS PARK,,OCR - [D25],,0,1070,,,0,1070,0,1018,0,0
WOOLLERTON PARK,,CCR - [D10],,0,2822,,,0,2822,0,2822,0,0
YEW LIAN PARK,,RCR - [D20],,2175,1500,,,2175,1884,2175,1500,0,0
YONG SENG ESTATE,,OCR - [D14],,1904,1468,,,1904,1468,1904,1468,0,0
YUNNAN GARDENS,,OCR - [D22],,0,1179,,,0,1451,0,1179,0,0
ZEPHYR PARK,,OCR - [D16],,1887,976,,,1887,976,1887,976,0,0
